Altitude_km,He_density_cm3,O_density_cm3,N2_density_cm3,O2_density_cm3,Ar_density_cm3,Total_mass_density,H_density_cm3,N_density_cm3,Exospheric_temp_K,Temp_at_altitude_K
174,9302000,9142000000,10970000000,611800000,13940000,7.869e-13,105900,35860000,1099.58,922.41
175,9230000,8923000000,10550000000,585800000,13210000,7.604e-13,103200,36550000,1099.58,926.92
176,9159000,8712000000,10160000000,561100000,12520000,7.35e-13,100700,37200000,1099.58,931.32
177,9089000,8507000000,9778000000,537600000,11870000,7.107e-13,98290,37830000,1099.58,935.61
178,9022000,8310000000,9416000000,515300000,11260000,6.874e-13,96030,38430000,1099.58,939.79
179,8955000,8118000000,9070000000,494000000,10690000,6.651e-13,93890,39000000,1099.58,943.86
180,8890000,7933000000,8740000000,473800000,10150000,6.437e-13,91860,39540000,1099.58,947.82
181,8827000,7754000000,8423000000,454500000,9642000,6.232e-13,89950,40040000,1099.58,951.68
182,8764000,7580000000,8121000000,436200000,9162000,6.036e-13,88130,40520000,1099.58,955.45
183,8703000,7412000000,7831000000,418700000,8708000,5.847e-13,86420,40960000,1099.58,959.11
184,8643000,7249000000,7553000000,402000000,8280000,5.665e-13,84790,41370000,1099.58,962.68
185,8584000,7090000000,7287000000,386000000,7875000,5.491e-13,83240,41740000,1099.58,966.16
186,8527000,6937000000,7032000000,370800000,7493000,5.323e-13,81780,42090000,1099.58,969.55
187,8470000,6787000000,6788000000,356300000,7131000,5.162e-13,80390,42400000,1099.58,972.86
188,8414000,6643000000,6553000000,342400000,6788000,5.007e-13,79070,42690000,1099.58,976.08
189,8360000,6502000000,6328000000,329200000,6464000,4.858e-13,77810,42940000,1099.58,979.21
190,8306000,6365000000,6111000000,316500000,6157000,4.714e-13,76620,43150000,1099.58,982.27
191,8253000,6233000000,5904000000,304400000,5866000,4.576e-13,75480,43340000,1099.58,985.24
192,8202000,6103000000,5704000000,292800000,5590000,4.442e-13,74400,43500000,1099.58,988.14
193,8151000,5978000000,5512000000,281700000,5329000,4.314e-13,73370,43630000,1099.58,990.97
194,8101000,5856000000,5328000000,271000000,5081000,4.19e-13,72390,43730000,1099.58,993.72
195,8051000,5737000000,5151000000,260800000,4845000,4.07e-13,71450,43800000,1099.58,996.41
196,8003000,5621000000,4980000000,251100000,4622000,3.955e-13,70560,43840000,1099.58,999.02
197,7955000,5508000000,4816000000,241700000,4409000,3.843e-13,69710,43860000,1099.58,1001.57
198,7908000,5398000000,4658000000,232800000,4208000,3.736e-13,68900,43850000,1099.58,1004.05
199,7862000,5291000000,4506000000,224200000,4016000,3.632e-13,68120,43820000,1099.58,1006.47
200,7816000,5187000000,4359000000,216000000,3834000,3.532e-13,67380,43760000,1099.58,1008.82
201,7764000,5085000000,4218000000,208200000,3661000,3.435e-13,66680,43680000,1099.58,1011.12
202,7720000,4986000000,4082000000,200600000,3496000,3.341e-13,66000,43570000,1099.58,1013.35
203,7676000,4890000000,3951000000,193300000,3340000,3.251e-13,65350,43440000,1099.58,1015.53
204,7634000,4795000000,3825000000,186300000,3191000,3.163e-13,64730,43300000,1099.58,1017.66
205,7591000,4703000000,3703000000,179600000,3049000,3.078e-13,64140,43130000,1099.58,1019.73
206,7550000,4613000000,3585000000,173100000,2913000,2.996e-13,63570,42940000,1099.58,1021.75
207,7508000,4526000000,3472000000,166900000,2785000,2.917e-13,63030,42740000,1099.58,1023.71
208,7468000,4440000000,3362000000,161000000,2662000,2.84e-13,62510,42520000,1099.58,1025.63
209,7428000,4357000000,3257000000,155300000,2545000,2.765e-13,62010,42280000,1099.58,1027.49
210,7388000,4275000000,3155000000,149800000,2434000,2.693e-13,61530,42030000,1099.58,1029.31
211,7349000,4195000000,3057000000,144500000,2328000,2.623e-13,61070,41760000,1099.58,1031.08
212,7310000,4117000000,2962000000,139400000,2227000,2.556e-13,60630,41480000,1099.58,1032.81
213,7272000,4041000000,2870000000,134500000,2130000,2.49e-13,60200,41180000,1099.58,1034.49
214,7234000,3967000000,2781000000,129800000,2038000,2.427e-13,59800,40880000,1099.58,1036.13
215,7197000,3894000000,2696000000,125300000,1950000,2.365e-13,59410,40560000,1099.58,1037.73
216,7160000,3823000000,2613000000,120900000,1866000,2.305e-13,59030,40230000,1099.58,1039.29
217,7124000,3753000000,2533000000,116700000,1786000,2.247e-13,58670,39890000,1099.58,1040.81
218,7088000,3685000000,2456000000,112700000,1710000,2.191e-13,58320,39550000,1099.58,1042.29
219,7052000,3619000000,2381000000,108800000,1637000,2.136e-13,57980,39190000,1099.58,1043.73
220,7017000,3553000000,2309000000,105100000,1567000,2.083e-13,57660,38830000,1099.58,1045.13
221,6982000,3490000000,2239000000,101400000,1501000,2.032e-13,57350,38460000,1099.58,1046.5
222,6947000,3427000000,2172000000,97980000,1437000,1.982e-13,57050,38080000,1099.58,1047.83
223,6913000,3366000000,2106000000,94630000,1377000,1.933e-13,56760,37700000,1099.58,1049.14
